TIME_PERIOD,value
2013-06-07,1.8752191260045104
2013-06-10,1.90130499605635
2013-06-11,1.9803495786525824
2013-06-12,1.960546541491976
2013-06-13,1.91048017985839
2013-06-14,1.8486556295399772
2013-06-17,1.848999556860222
2013-06-18,1.89406534558002
2013-06-19,1.8783533675708828
2013-06-20,2.027820297501423
2013-06-21,2.0837924544444126
2013-06-24,2.23953352409053
2013-06-25,2.2215791264529123
2013-06-26,2.152379110846164
2013-06-27,2.0808710732984226
2013-06-28,2.1372549798737515
2013-07-01,2.1040176196420277
2013-07-02,2.07896897103421
2013-07-03,2.051910070141247
2013-07-04,2.016617655275684
2013-07-05,2.1042583338053875
2013-07-08,2.073012082313202
2013-07-09,2.038408347862667
2013-07-10,2.0458994360105534
2013-07-11,2.021893961981185
2013-07-12,1.961218638093344
2013-07-15,1.8492398502905851
2013-07-16,1.84631543748303
2013-07-17,1.831635251651284
2013-07-18,1.8163979712195812
2013-07-19,1.8008814243378284
2013-07-22,1.7950670759240488
2013-07-23,1.8418109892919643
2013-07-24,1.899139224835083
2013-07-25,1.9393666536810776
2013-07-26,1.9343258079165395
2013-07-29,1.9473289795233253
2013-07-30,1.9392408006906356
2013-07-31,1.9549500564761644
2013-08-01,1.939327407730718
2013-08-02,1.9278097700935897
2013-08-05,1.9533121659944408
2013-08-06,1.96687607858076
2013-08-07,1.96411282026632
2013-08-08,1.9564549594360336
2013-08-09,1.9487362783092808
2013-08-12,1.9577478764103216
2013-08-13,2.050765531966986
2013-08-14,2.0780258381014924
2013-08-15,2.1461025205995226
2013-08-16,2.1312694378047974
2013-08-19,2.182755240194731
2013-08-20,2.14111744295726
2013-08-21,2.183528872967142
2013-08-22,2.198780493680059
2013-08-23,2.247823286408747
2013-08-26,2.1796669253484584
2013-08-27,2.1487107675126165
2013-08-28,2.1582887868738414
2013-08-29,2.1593430202725576
2013-08-30,2.1735758852227374
2013-09-02,2.2045144373542715
2013-09-03,2.217619760169488
2013-09-04,2.2257630613061803
2013-09-05,2.3387281368853774
2013-09-06,2.2505444743392404
2013-09-09,2.2644764737615697
2013-09-10,2.350572304078276
2013-09-11,2.305142204135535
2013-09-12,2.240910613430379
2013-09-13,2.2266177230966315
2013-09-16,2.18754728834827
2013-09-17,2.2172955941914285
2013-09-18,2.250093116033428
2013-09-19,2.183883296542283
2013-09-20,2.219703296603952
2013-09-23,2.190090492146401
2013-09-24,2.1251801487181643
2013-09-25,2.10187531710488
2013-09-26,2.097885659622513
2013-09-27,2.053247784075221
2013-09-30,2.05493861415187
2013-10-01,2.057780520780621
2013-10-02,2.0640562461286995
2013-10-03,2.085932560739278
2013-10-04,2.109535513762135
2013-10-07,2.0751206112735003
2013-10-08,2.0925635632529183
2013-10-09,2.084218409155028
2013-10-10,2.140919819897052
2013-10-11,2.135646084305161
2013-10-14,2.140927238617448
2013-10-15,2.158785800252902
2013-10-16,2.211399610720906
2013-10-17,2.1660649781445294
2013-10-18,2.114630415346678
2013-10-21,2.116398037799133
2013-10-22,2.0704294248187374
2013-10-23,2.0456972105062965
2013-10-24,2.0283619485823623
2013-10-25,2.03576699471346
2013-10-28,2.01982151994755
2013-10-29,2.0193030818196407
2013-10-30,1.985577109531687
2013-10-31,1.95182874131826
2013-11-01,1.9568501362605213
2013-11-04,1.9429381076082288
2013-11-05,2.0057958755259517
2013-11-06,2.0161495737138155
2013-11-07,1.961857306186861
2013-11-08,2.027700367893818
2013-11-11,2.020458973633036
2013-11-12,2.0603634438570197
2013-11-13,2.0278165290617167
2013-11-14,1.9936665518216392
2013-11-15,1.9950225180852907
2013-11-18,1.9792581003537988
2013-11-19,1.9902545808076368
2013-11-20,2.0073959737987077
2013-11-21,2.0494018126606424
2013-11-22,2.026575585582779
2013-11-25,1.9920628231163988
2013-11-26,1.98678282553574
2013-11-27,1.993419097354029
2013-11-28,1.9842442670491307
2013-11-29,1.9865840246800035
2013-12-02,2.0214893203253936
2013-12-03,2.014172017683342
2013-12-04,2.060604804983911
2013-12-05,2.1144592491603884
2013-12-06,2.128213352268011
2013-12-09,2.1084115849323
2013-12-10,2.099612506696359
2013-12-11,2.1030387088243687
2013-12-12,2.112674213278771
2013-12-13,2.110884111367945
2013-12-16,2.107390216867243
2013-12-17,2.1065094242838187
2013-12-18,2.114220832439024
2013-12-19,2.152465221064221
2013-12-20,2.160389274607043
2013-12-23,2.1619615616489227
2013-12-24,2.163011022875501
2013-12-27,2.2355284534334388
2013-12-30,2.238369004886181
2013-12-31,2.24087957425051
2014-01-02,2.2420753092057195
2014-01-03,2.2354038797721776
2014-01-06,2.1999538136355303
2014-01-07,2.17897837881284
2014-01-08,2.1791118887773697
2014-01-09,2.1981300792117384
2014-01-10,2.160339147312209
2014-01-13,2.1285552373750365
2014-01-14,2.119306219995868
2014-01-15,2.141214731986639
2014-01-16,2.089287618711957
2014-01-17,2.0737142001826028
2014-01-20,2.0399887755738
2014-01-21,2.045722927601144
2014-01-22,2.0709524256959035
2014-01-23,2.025131071983414
2014-01-24,1.9816667579379248
2014-01-27,1.9819430231244783
2014-01-28,1.9888725290340383
2014-01-29,1.9617511873666311
2014-01-30,1.943330384112988
2014-01-31,1.8946035594776944
2014-02-03,1.8797787851643548
2014-02-04,1.8837892981197388
2014-02-05,1.8795152156429813
2014-02-06,1.931766243962901
2014-02-07,1.9055995282713107
2014-02-10,1.9163319932493923
2014-02-11,1.930820204064113
2014-02-12,1.940885565225628
2014-02-13,1.9150269551523875
2014-02-14,1.92813180813402
